"UTM Easting","UTM Northing","Cotton Yield"
713199,6787209,7.35111963697564
713199,6787207,7.3631808814459
713199,6787205,7.51502989698575
713199,6787203,7.65617033759051
713199,6787201,7.71406085657319
713199,6787199,7.71790657529368
713199,6787197,7.53092893362182
713199,6787195,7.3021845168423
713199,6787193,7.03612702907683
713199,6787191,6.86142934736249
713199,6787189,6.75485651532659
713199,6787187,6.89028985095788
713199,6787185,7.03973229611284
713199,6787183,7.35334111717678
713199,6787181,7.5507249427433
713199,6787179,7.72050781762449
713199,6787177,7.87310448982291
713199,6787175,7.97422645202384
713199,6787173,7.98212575575186
713199,6787171,8.0135294446528
713199,6787169,8.07480760176441
713199,6787167,8.09289371445088
713199,6787165,8.12376067088291
713199,6787163,8.0865331947737
713199,6787161,8.09326940705992
713199,6787159,8.03409361639479
713199,6787157,7.99056248128266
713199,6787155,7.96525332479216
713199,6787153,7.96279537966786
713199,6787151,7.94076202151199
713199,6787149,7.93140922992655
713199,6787147,7.91500677212448
713199,6787145,7.90945003697834
713199,6787143,7.89218225339792
713201,6787309,7.63606936594849
713201,6787307,8.01911637355561
713201,6787305,8.35109044681512
713201,6787303,8.59958457319446
713201,6787301,8.36811601386611
713201,6787299,8.16387904975286
713201,6787297,7.98233508165219
713201,6787295,7.81990100493055
713201,6787293,7.76291395641345
713201,6787291,7.72160382907353
713201,6787289,7.67635940389172
713201,6787287,7.63669083265263
713201,6787285,7.60047170239085
713201,6787283,7.60169593910081
713201,6787281,7.54735638934924
713201,6787279,7.40997896799247
713201,6787277,7.33737373130243
713201,6787275,7.36385756779502
713201,6787273,7.39034140428762
713201,6787271,7.4861793026402
713201,6787269,7.67910418661514
713201,6787267,7.81291379563595
713201,6787265,7.84763433147411
713201,6787263,7.88235486731227
713201,6787261,7.90318718881517
713201,6787259,7.9101312959828
713201,6787257,8.17390033303554
713201,6787255,8.39378072777954
713201,6787253,8.61366112252354
713201,6787251,8.83354151726754
713201,6787249,9.05342191201154
713201,6787247,8.72149572332271
713201,6787245,8.50646507621235
713201,6787243,8.3425262046637
713201,6787241,8.19685449919788
713201,6787239,8.04905676277907
713201,6787237,8.18266751052979
713201,6787235,8.21022409530546
713201,6787233,8.10780091255141
713201,6787231,8.00295893888791
713201,6787229,7.68881680600461
713201,6787227,7.35729407561822
713201,6787225,7.20007310714177
713201,6787223,7.19209481767573
713201,6787221,7.15764752345771
713201,6787219,7.33445196620097
713201,6787217,7.51672538088118
713201,6787215,7.48786403070918
713201,6787213,7.42260004673703
713201,6787211,7.41238646765229
713201,6787209,7.45298979147295
713201,6787207,7.52036981923198
713201,6787205,7.69197871763362
713201,6787203,7.84954195577271
713201,6787201,7.92115237139743
713201,6787199,7.90409235967416
713201,6787197,7.74309474596819
713201,6787195,7.54301432338852
713201,6787193,7.30267242370986
713201,6787191,7.17544448361196
713201,6787189,7.14563858700491
713201,6787187,7.30534728564587
713201,6787185,7.49132558139714
713201,6787183,7.7401668048817
713201,6787181,7.94518980858628
